breed,pfscore,apiscore,datapoints
Labrador Retriever,8,40,32
Staffordshire Bull Terrier,25,0,2
German Shepherd Dog,11,0,41
Great Pyrenees,0,60,4
Australian Cattle Dog,17,0,9
Shih Tzu,38,60,4
Doberman Pinscher,0,0,2
Australian Shepherd,7,0,7
Siberian Husky,16,60,25
Pekingese,25,0,2
American Pit Bull Terrier,17,20,38
Rottweiler,10,40,5
American Staffordshire Terrier,21,20,7
Basset Hound,25,60,8
Beagle,33,40,3
Havanese,50,40,1
Shiba Inu,50,0,1
Glen of Imaal Terrier,0,40,1
Australian Kelpie,50,20,1
Boxer,50,60,1
Olde English Bulldogge,100,20,1
Bluetick Coonhound,25,20,2
Standard Schnauzer,0,20,1
Cocker Spaniel,0,40,1
