Breedname,Number of Animals
Domestic Short Hair,155
Mixed Breed,69
Pit Bull Terrier,36
Terrier,22
Chihuahua,19
Domestic Medium Hair,19
Labrador Retriever,16
German Shepherd Dog,14
Shepherd,12
Boxer,11
American Shorthair,10
Tabby,10
Australian Cattle Dog / Blue Heeler,10
Husky,10
Domestic Long Hair,9
Pug,8
Golden Retriever,7
Australian Shepherd,7
Beagle,7
Border Collie,6
Black Labrador Retriever,6
American Staffordshire Terrier,6
Great Pyrenees,5
Yellow Labrador Retriever,5
Hound,5
Siamese,5
Finch,5
English Bulldog,4
American Bully,4
Jack Russell Terrier,4
Rottweiler,4
Lionhead,4
White German Shepherd,3
French Bulldog,3
Great Dane,3
Tuxedo,3
Plott Hound,3
Siberian Husky,3
Dachshund,3
Rat Terrier,3
Anatolian Shepherd,3
Goldendoodle,3
Catahoula Leopard Dog,3
Pointer,2
Russian Blue,2
Border Terrier,2
New Zealand,2
Yorkshire Terrier,2
Schnauzer,2
Maltipoo,2
Maltese,2
Collie,2
Standard Poodle,2
Rex,2
Miniature Poodle,2
Tibetan Spaniel,2
Shih Tzu,2
Doberman Pinscher,2
Carolina Dog,1
Beauceron,1
Chocolate Labrador Retriever,1
Shar-Pei,1
Boerboel,1
Retriever,1
Pekingese,1
Bulldog,1
Basenji,1
American Bulldog,1
Cocker Spaniel,1
Maine Coon,1
Lakeland Terrier,1
American Foxhound,1
Chicken,1
Cockatoo,1
Greater Swiss Mountain Dog,1
Cane Corso,1
Fox Terrier,1
Italian Greyhound,1
Parson Russell Terrier,1
Cattle Dog,1
Snowshoe,1
English Foxhound,1
Cardigan Welsh Corgi,1
German Wirehaired Pointer,1
Flat-Coated Retriever,1
Bengal,1
Other,1
Australian Kelpie,1
English Cocker Spaniel,1
Norwich Terrier,1
German Pinscher,1
Yorkie Poo,1
Cavalier King Charles Spaniel,1
Schnoodle,1
Rough Collie,1
Alaskan Malamute,1
Bernadoodle,1
Tortoiseshell,1
Silky Terrier,1
Guinea Pig,1
Black and Tan Coonhound,1
Bernese Mountain Dog,1
Belgian Shepherd / Malinois,1
Poodle,1
Ragdoll,1
Dachshund (Long Haired),1
